,Psychrometer
2021-07-10 22:30:00,-0.5749386548995972
2021-07-10 23:00:00,-0.572575569152832
2021-07-10 23:30:00,-0.5782804489135742
2021-07-11 00:00:00,-0.5353668928146362
2021-07-11 00:30:00,-0.5168838500976562
2021-07-11 01:00:00,-0.5225887298583984
2021-07-11 01:30:00,-0.5376838445663452
2021-07-11 02:00:00,-0.5420272946357727
2021-07-11 02:30:00,-0.5420272946357727
2021-07-11 03:00:00,-0.4669799208641052
2021-07-11 03:30:00,-0.4669799208641052
2021-07-11 04:00:00,-0.4645966589450836
2021-07-11 04:30:00,-0.4549424946308136
2021-07-11 05:00:00,-0.4549424946308136
2021-07-11 05:30:00,-0.506415605545044
2021-07-11 06:00:00,-0.4669799208641052
2021-07-11 06:30:00,-0.6390447616577148
2021-07-11 07:00:00,-0.48116201162338257
2021-07-11 07:30:00,-0.47415652871131897
2021-07-11 08:00:00,-0.5578867793083191
2021-07-11 08:30:00,-0.5898145437240601
2021-07-11 09:00:00,-0.6103907227516174
2021-07-11 09:30:00,-0.5669965147972107
2021-07-11 10:00:00,-0.6313731670379639
2021-07-11 10:30:00,-0.7722641825675964
2021-07-11 11:00:00,-0.6560540199279785
2021-07-11 11:30:00,-0.8791611194610596
2021-07-11 12:00:00,-0.7728880047798157
2021-07-11 12:30:00,-0.7379106879234314
2021-07-11 13:00:00,-0.7442943453788757
2021-07-11 13:30:00,-0.7906516194343567
2021-07-11 14:00:00,-0.9483190774917603
2021-07-11 14:30:00,-1.131261944770813
2021-07-11 15:00:00,-1.1408188343048096
2021-07-11 15:30:00,-0.8744217753410339
2021-07-11 16:00:00,-1.110230565071106
2021-07-11 16:30:00,-0.9412412047386169
2021-07-11 17:00:00,-0.8670911192893982
2021-07-11 17:30:00,-0.8285823464393616
2021-07-11 18:00:00,-0.7226079702377319
2021-07-11 18:30:00,-0.7076663970947266
2021-07-11 19:00:00,-0.8716739416122437
2021-07-11 19:30:00,-0.9641984105110168
2021-07-11 20:00:00,-0.8241580724716187
2021-07-11 20:30:00,-0.674240231513977
2021-07-11 21:00:00,-0.6195724010467529
2021-07-11 21:30:00,-0.592293381690979
2021-07-11 22:00:00,-0.6525423526763916
2021-07-11 22:30:00,-0.6286249160766602
2021-07-11 23:00:00,-0.6355148553848267
2021-07-11 23:30:00,-0.6355148553848267
2021-07-12 00:00:00,-0.5500438809394836
2021-07-12 00:30:00,-0.5561827421188354
2021-07-12 01:00:00,-0.5532428026199341
2021-07-12 01:30:00,-0.5213150382041931
2021-07-12 02:00:00,-0.5213150382041931
2021-07-12 02:30:00,-0.5263184309005737
2021-07-12 03:00:00,-0.4875750243663788
2021-07-12 03:30:00,-0.44389015436172485
2021-07-12 04:00:00,-0.44389015436172485
2021-07-12 04:30:00,-0.44389015436172485
2021-07-12 05:00:00,-0.4401257336139679
2021-07-12 05:30:00,-0.4401257336139679
2021-07-12 06:00:00,-0.4471312165260315
2021-07-12 06:30:00,-0.4471312165260315
2021-07-12 07:00:00,-0.43191400170326233
2021-07-12 07:30:00,-0.4401257336139679
2021-07-12 08:00:00,-0.516884446144104
2021-07-12 08:30:00,-0.5509153008460999
2021-07-12 09:00:00,-0.5856605172157288
2021-07-12 09:30:00,-0.6935011148452759
2021-07-12 10:00:00,-0.7014833688735962
2021-07-12 10:30:00,-0.8380609750747681
2021-07-12 11:00:00,-0.9766467809677124
2021-07-12 11:30:00,-1.0298644304275513
2021-07-12 12:00:00,-1.0759963989257812
2021-07-12 12:30:00,-1.129518985748291
2021-07-12 13:00:00,-1.1248151063919067
2021-07-12 13:30:00,-1.0386344194412231
2021-07-12 14:00:00,-1.0955383777618408
2021-07-12 14:30:00,-1.315267562866211
2021-07-12 15:00:00,-1.315267562866211
2021-07-12 15:30:00,-1.1968671083450317
2021-07-12 16:00:00,-1.2066137790679932
2021-07-12 16:30:00,-1.2066137790679932
2021-07-12 17:00:00,-1.2066137790679932
2021-07-12 17:30:00,-1.2066137790679932
2021-07-12 18:00:00,-0.6339117884635925
2021-07-12 18:30:00,-0.7088565826416016
2021-07-12 19:00:00,-0.6372914910316467
2021-07-12 19:30:00,-0.7608456015586853
2021-07-12 20:00:00,-0.651557981967926
2021-07-12 20:30:00,-0.674240231513977
2021-07-12 21:00:00,-0.6976416110992432
