PSY (Mpa),% Loss,Species,Type,Curve,Material,Method,Diameter(mm),Paper
-6.775523402,89.209,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-6.736722981,83.741,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-6.764368281,79.137,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-5.431897179,65.036,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-5.419125374,56.403,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-5.474415973,47.194,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-4.945760246,37.698,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-5.017702692,33.669,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-5.000080834,29.353,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-4.510225527,25.324,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-4.513458896,22.446,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-4.539810848,18.993,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-3.009619271,0.863,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-3.007032576,3.165,Douglas fir ,stem,c13,seedling shoot id,air-injection,1.72+-0.07,Kavanagh et al 1999 
-6.786516854,96.934,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-6.786516854,93.723,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-6.831460674,91.679,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-5.550561798,99.562,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-5.550561798,94.891,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-5.573033708,91.387,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-5.033707865,89.635,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.966292135,79.124,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-5.011235955,68.905,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.561797753,76.204,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.471910112,67.737,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.539325843,59.562,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.06741573,52.847,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4,48.759,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-4.04494382,44.672,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-3.528089888,45.547,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-3.505617978,37.08,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-3.505617978,31.533,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-3.011235955,31.825,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-2.988764045,25.985,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
-2.966292135,20.73,Douglas fir ,root,c14,seedling root id,air-injection,0.93+-0.06,Kavanagh et al 1999 
