,Corrected Water Potential (MPa)
2022-07-25 20:30:00,-0.8935317149310373
2022-07-25 21:00:00,-0.8721755309091536
2022-07-25 21:30:00,-0.8477666576367763
2022-07-25 22:00:00,-0.8209982179621703
2022-07-25 22:30:00,-0.79520010666879
2022-07-25 23:00:00,-0.7739546789801367
2022-07-25 23:30:00,-0.7582788809406092
2022-07-26 00:00:00,-0.7461945635551246
2022-07-26 00:30:00,-0.7350124572607851
2022-07-26 01:00:00,-0.7238083177809954
2022-07-26 01:30:00,-0.7137626375294758
2022-07-26 02:00:00,-0.7064436263124121
2022-07-26 02:30:00,-0.7019816398352128
2022-07-26 03:00:00,-0.6988118928259428
2022-07-26 03:30:00,-0.6948283145979983
2022-07-26 04:00:00,-0.6885532044583527
2022-07-26 04:30:00,-0.679579006240366
2022-07-26 05:00:00,-0.6686666563053443
2022-07-26 05:30:00,-0.6577133888967913
2022-07-26 06:00:00,-0.6491922729736799
2022-07-26 06:30:00,-0.6452905369993979
2022-07-26 07:00:00,-0.647728587259311
2022-07-26 07:30:00,-0.6585599487268996
2022-07-26 08:00:00,-0.6808398721185196
2022-07-26 08:30:00,-0.7178597060437037
2022-07-26 09:00:00,-0.7711516555622165
2022-07-26 09:30:00,-0.8390686449518635
2022-07-26 10:00:00,-0.9172906534428779
2022-07-26 10:30:00,-1.0004182250663238
2022-07-26 11:00:00,-1.0828533200787498
2022-07-26 11:30:00,-1.1586642690704512
2022-07-26 12:00:00,-1.2219578541099896
2022-07-26 12:30:00,-1.2690494927387472
2022-07-26 13:00:00,-1.301196928603789
2022-07-26 13:30:00,-1.3245632711751656
2022-07-26 14:00:00,-1.345974316557871
2022-07-26 14:30:00,-1.3678613874418086
2022-07-26 15:00:00,-1.3872796207495195
2022-07-26 15:30:00,-1.3996540751561237
2022-07-26 16:00:00,-1.4028745978472354
2022-07-26 16:30:00,-1.397719983677891
2022-07-26 17:00:00,-1.3853642827047372
2022-07-26 17:30:00,-1.3655074887251233
2022-07-26 18:00:00,-1.3368930342429166
2022-07-26 18:30:00,-1.2990208908770549
2022-07-26 19:00:00,-1.2529077280778462
2022-07-26 19:30:00,-1.2002116987456077
2022-07-26 20:00:00,-1.1421008877704408
2022-07-26 20:30:00,-1.0793001554527444
2022-07-26 21:00:00,-1.0129547897900115
2022-07-26 21:30:00,-0.9452380280518199
2022-07-26 22:00:00,-0.8794729596024949
2022-07-26 22:30:00,-0.8198026032492549
2022-07-26 23:00:00,-0.7699445211000336
2022-07-26 23:30:00,-0.7313336200272507
2022-07-27 00:00:00,-0.7023843035111283
2022-07-27 00:30:00,-0.6799122745057108
2022-07-27 01:00:00,-0.6612786567912853
2022-07-27 01:30:00,-0.6451109928063697
2022-07-27 02:00:00,-0.6306152899299267
2022-07-27 02:30:00,-0.6172056729680362
2022-07-27 03:00:00,-0.6051151160333205
2022-07-27 03:30:00,-0.5957636601857914
2022-07-27 04:00:00,-0.5907066701012713
2022-07-27 04:30:00,-0.5898248971801698
2022-07-27 05:00:00,-0.5906971448423823
2022-07-27 05:30:00,-0.5901614823446796
2022-07-27 06:00:00,-0.586803446865356
2022-07-27 06:30:00,-0.5824424905805591
2022-07-27 07:00:00,-0.5823909066122824
2022-07-27 07:30:00,-0.5953944278361087
2022-07-27 08:00:00,-0.6330028332329
2022-07-27 08:30:00,-0.7066880264436141
2022-07-27 09:00:00,-0.8223510904306928
2022-07-27 09:30:00,-0.9750021110444133
2022-07-27 10:00:00,-1.147248042092564
2022-07-27 10:30:00,-1.3131171544390197
2022-07-27 11:00:00,-1.446460695246263
2022-07-27 11:30:00,-1.5309439996125584
2022-07-27 12:00:00,-1.5666703863435134
2022-07-27 12:30:00,-1.5692434550960148
2022-07-27 13:00:00,-1.561895179969416
2022-07-27 13:30:00,-1.5649773689695625
2022-07-27 14:00:00,-1.5868386084058432
2022-07-27 14:30:00,-1.6200080493038118
2022-07-27 15:00:00,-1.6470575843687443
2022-07-27 15:30:00,-1.6536586088088858
2022-07-27 16:00:00,-1.636390655701002
2022-07-27 16:30:00,-1.598578922207251
2022-07-27 17:00:00,-1.543687298431212
2022-07-27 17:30:00,-1.4755669194347165
2022-07-27 18:00:00,-1.400986601737137
2022-07-27 18:30:00,-1.3276948609989119
2022-07-27 19:00:00,-1.2601087563256148
2022-07-27 19:30:00,-1.197696771561607
2022-07-27 20:00:00,-1.1369564977225834
2022-07-27 20:30:00,-1.0745441258883197
2022-07-27 21:00:00,-1.0094151865480634
2022-07-27 21:30:00,-0.943239898322356
2022-07-27 22:00:00,-0.8796282859198025
2022-07-27 22:30:00,-0.8226516140832543
2022-07-27 23:00:00,-0.7749999758887993
2022-07-27 23:30:00,-0.7368734382729343
2022-07-28 00:00:00,-0.7065775761541068
2022-07-28 00:30:00,-0.6819914057522637
2022-07-28 01:00:00,-0.6612323265134694
2022-07-28 01:30:00,-0.6423749353741266
2022-07-28 02:00:00,-0.6234148749521304
2022-07-28 02:30:00,-0.6030175687886551
2022-07-28 03:00:00,-0.5814759464369679
2022-07-28 03:30:00,-0.561148348163305
2022-07-28 04:00:00,-0.5458365592064888
2022-07-28 04:30:00,-0.5388795446331464
2022-07-28 05:00:00,-0.5409257947457832
2022-07-28 05:30:00,-0.5492481941745884
2022-07-28 06:00:00,-0.5595913436270491
2022-07-28 06:30:00,-0.5695353678719798
2022-07-28 07:00:00,-0.5814705231433915
2022-07-28 07:30:00,-0.603945306044729
2022-07-28 08:00:00,-0.6507613743063257
2022-07-28 08:30:00,-0.7368070016216096
2022-07-28 09:00:00,-0.870530635031012
2022-07-28 09:30:00,-1.0463484265803262
2022-07-28 10:00:00,-1.2423905216272968
2022-07-28 10:30:00,-1.4265091046555913
2022-07-28 11:00:00,-1.5685077853424798
2022-07-28 11:30:00,-1.652651620205543
2022-07-28 12:00:00,-1.6835748681717289
2022-07-28 12:30:00,-1.6819163927744505
2022-07-28 13:00:00,-1.672651525327795
2022-07-28 13:30:00,-1.6734273099797112
2022-07-28 14:00:00,-1.688600078228808
2022-07-28 14:30:00,-1.71090168021844
2022-07-28 15:00:00,-1.7295067216896047
2022-07-28 15:30:00,-1.7383920935503443
2022-07-28 16:00:00,-1.7363522410201773
2022-07-28 16:30:00,-1.720080450583313
2022-07-28 17:00:00,-1.6828801059633531
2022-07-28 17:30:00,-1.6225011846090307
2022-07-28 18:00:00,-1.5461249675585065
2022-07-28 18:30:00,-1.4652094722329554
2022-07-28 19:00:00,-1.3872279588711178
2022-07-28 19:30:00,-1.312627290221659
2022-07-28 20:00:00,-1.2373305352129695
2022-07-28 20:30:00,-1.1570795279724275
2022-07-28 21:00:00,-1.0709323907862098
2022-07-28 21:30:00,-0.9825497459152422
2022-07-28 22:00:00,-0.8988314899092193
2022-07-28 22:30:00,-0.8267211369844996
2022-07-28 23:00:00,-0.7700302571042774
2022-07-28 23:30:00,-0.728075333072054
2022-07-29 00:00:00,-0.6965835434679236
2022-07-29 00:30:00,-0.6702116802025289
2022-07-29 01:00:00,-0.6452220849685847
2022-07-29 01:30:00,-0.6205826897762318
2022-07-29 02:00:00,-0.5971042811851491
2022-07-29 02:30:00,-0.5760638663992577
2022-07-29 03:00:00,-0.558492209819308
2022-07-29 03:30:00,-0.5448041069186541
2022-07-29 04:00:00,-0.5344824429896117
2022-07-29 04:30:00,-0.5262750454605737
2022-07-29 05:00:00,-0.5188845532482367
2022-07-29 05:30:00,-0.5114350244417789
2022-07-29 06:00:00,-0.5034615476100895
2022-07-29 06:30:00,-0.4953432720674004
2022-07-29 07:00:00,-0.49047845058535344
2022-07-29 07:30:00,-0.49859780151219196
2022-07-29 08:00:00,-0.5365125100249939
2022-07-29 08:30:00,-0.6226937056369479
2022-07-29 09:00:00,-0.7671800753955514
2022-07-29 09:30:00,-0.9634630360174978
2022-07-29 10:00:00,-1.1876643180101405
2022-07-29 10:30:00,-1.4049086120467824
